period,start,end,strategy,tc_bp,borrow_rate,total_return,ann_return,ann_vol,sharpe,max_drawdown,trades,win_rate,avg_holding_days,turnover
holdout_2026,2026-01-05,2026-09-01,conservative,20.0,0.01,0.014655004947760508,0.02288927543266639,0.13889186838445408,0.2305101247277758,-0.11769551305791115,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,20.0,0.03,0.014011399440436723,0.02188016437330975,0.1388828066424319,0.22341374237829356,-0.11812001789883686,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,20.0,0.05,0.013368176659683373,0.020872008842780287,0.13887400023302587,0.2163160362097424,-0.11854433551341415,1,1.0,16.0,2.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,5.0,0.01,0.10310815369346082,0.03877791446916978,0.16843264560967247,0.31019431773237793,-0.269161573589801,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,5.0,0.03,0.0874645465731474,0.033041709925580864,0.16842592727449204,0.2773230274348869,-0.2737677399832106,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,5.0,0.05,0.07204217990526152,0.027336955351155767,0.16841979178002556,0.24444826867854763,-0.2783450571275672,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,10.0,0.01,0.06736261533883536,0.025596050527147307,0.1683002195751012,0.23442039193122002,-0.2760755183320178,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,10.0,0.03,0.05222524644066806,0.01993238041746226,0.1682933332649446,0.20152041223791264,-0.28063823760535866,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,10.0,0.05,0.03730196816023712,0.01429976399923416,0.16828703024172686,0.16861715556584056,-0.28574661855093664,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,20.0,0.01,-0.000740394745977202,-0.00028711043949225523,0.1681377916579129,0.08246397785111377,-0.2907538552683696,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,20.0,0.03,-0.01491320583182465,-0.0058083467157941104,0.16813057300323792,0.049526088206404854,-0.296397957359392,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_always,20.0,0.05,-0.028885550098068147,-0.011299307511054013,0.16812393817345062,0.01658531248187576,-0.3019973660388682,33,0.5151515151515151,10.909090909090908,66.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,5.0,0.01,0.1601056401180636,0.059266406783319514,0.09995321944386369,0.6253668071447448,-0.15649193881107815,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,5.0,0.03,0.1568021421415431,0.05809597010507539,0.09993069483266008,0.614423160997452,-0.15703311048996915,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,5.0,0.05,0.1535079208219412,0.056926780403712796,0.09990855697521646,0.603472244194445,-0.1575739566600911,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,10.0,0.01,0.15091729781327756,0.0560058759060309,0.09976330104286461,0.5954683398094867,-0.1569139038241789,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,10.0,0.03,0.1476397867920647,0.05483897865897536,0.0997412145794972,0.5844945360250312,-0.15745480478187046,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,10.0,0.05,0.144371479951952,0.05367332468540176,0.09971951579908593,0.5735136414596211,-0.1579953803936276,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,20.0,0.01,0.1327449145918589,0.049510062701140445,0.0994280951902534,0.5350882989463825,-0.1577578338503811,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,20.0,0.03,0.12951880361071488,0.04835021739939194,0.09940689956207359,0.5240593786209891,-0.1582981933656723,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_structure_gate,20.0,0.05,0.12630175344849737,0.047191607991970086,0.09938609330541698,0.5130237441848216,-0.158838227860701,8,0.625,9.0,16.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,5.0,0.01,0.08866740430186426,0.0334845604770162,0.09803771884173532,0.3842883676080147,-0.1564919388110778,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,5.0,0.03,0.0859092579394285,0.032468661667057974,0.09802365702943094,0.37429882402849546,-0.15703311048996949,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,5.0,0.05,0.08315799040747551,0.03145372124574042,0.09800995315578569,0.36430508350228136,-0.15757395666009122,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,10.0,0.01,0.08219467643296219,0.031097982414395542,0.0978862360949372,0.3611192186127832,-0.1569139038241789,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,10.0,0.03,0.07945280350077844,0.030084383227354294,0.09787253181033896,0.35110960216628023,-0.15745480478187035,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,10.0,0.05,0.07671776912562445,0.029071740303278526,0.09785918611730471,0.34109593229507534,-0.15799538039362748,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,20.0,0.01,0.06935492569907087,0.026337805602089537,0.09761770946733177,0.31445414532611116,-0.15775783385038122,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,20.0,0.03,0.06664533591448585,0.025328793407374706,0.09760472814664134,0.3044081836895053,-0.15829819336567263,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,low_confirmed_gate,20.0,0.05,0.063942504787587,0.02432073323536499,0.09759210659656119,0.2943584643455569,-0.15883822786070112,6,0.5,10.666666666666666,12.0
oos_2024_latest,2024-01-04,2026-09-01,conservative,5.0,0.01,-0.05826864577218205,-0.02300641942690773,0.11179808824843553,-0.15233433672900376,-0.22372453376202428,9,0.5555555555555556,16.444444444444443,18.0
oos_2024_latest,2024-01-04,2026-09-01,conservative,5.0,0.03,-0.06378601130821726,-0.02522954690323609,0.11180245633109621,-0.17269397588762112,-0.2268811065544224,9,0.5555555555555556,16.444444444444443,18.0
oos_2024_latest,2024-01-04,2026-09-01,conservative,5.0,0.05,-0.0692712691835854,-0.02744770368711935,0.11180744932556369,-0.1930509452182549,-0.23004281628233214,9,0.5555555555555556,16.444444444444443,18.0
